"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*8*6*4*",189684.643659582,545069.07175827,"1","4549",0.1555,0,"11620595","11380552","201607"
"4*6*0*7*",188827.818860036,544511.159322753,"1","4044",0,0,"11710642","11650550","201610"
"4*7*5*8*",189734.639530513,545221.712352129,"2","2529",0.2216,0.0371,"11470550","11410655","201607"
"4*7*4*8*",188984.171622471,543821.826331787,"1","4549",2.2867,0,"11530720","11560670","201702"
"4*4*0*5*",190036.736484939,544803.706785059,"1","4549",0.5512,0,"11620775","11215740","201707"
"4*6*9*2*",188677.301074211,543709.10453382,"2","5054",0.2565,0.3484,"11530530","11110515","201706"
"4*8*1*0*",190417.606225198,544255.875489544,"2","2529",0,1.9165,"41113","11350595","201609"
"4*5*1*3*",189284.146471954,544716.97835427,"2","5559",0,0.5412,"11530520","11260520","201704"
"4*7*9*4*",188482.622697768,544807.420512783,"2","6569",0.0734,0.4416,"11110690","11380570","201710"
"4*3*5*7*",189921.891555793,543224.526966303,"2","2024",0.0942,0.0295,"41287","11620725","201703"
"4*5*0*0*",189786.226624857,544255.345016901,"2","4549",1.1466,0.0021,"11200670","11305555","201708"
"4*6*9*3*",190578.735271856,544653.189037524,"2","1519",0,0,"28185","11590630","201603"
"4*7*6*6*",189622.977369698,544822.275458145,"2","3539",0.0316,0.1124,"11740530","11620695","201710"
"4*3*6*1*",190445.189507806,542908.111076731,"1","1519",1.8171,0.1484,"26110","11470611","201609"
"4*8*2*4*",188483.153129154,542427.773266591,"1","6064",0,0.2127,"41463","11215870","201701"
"4*7*0*6*",190544.651112277,544869.618692325,"2","1519",0.1166,0,"41113","11440600","201611"
"4*5*1*4*",189826.67446278,544657.963683316,"2","5559",0.457,0.1332,"47113","11530720","201608"
"4*8*8*2*",189371.406507057,544610.620451975,"2","3539",1.3676,0.0802,"11530595","11230750","201609"
"4*4*8*1*",190741.453034066,544906.350989207,"1","5559",0,0.6834,"11650600","11710641","201607"
"4*6*9*3*",188836.305900735,543855.909356788,"2","2024",0.0996,0,"48730","11440710","201610"
"4*6*2*7*",190392.011624603,543560.708325168,"1","2529",0.3663,0,"11530770","11200550","201801"
"4*6*2*5*",190240.963124794,545171.185851033,"1","1519",0.6468,0.3498,"47940","11470570","201607"
"4*7*0*8*",188787.901292339,543705.391643095,"1","5559",0.3703,0,"11470560","11710550","201612"
"4*7*7*6*",189240.515283957,544522.29985097,"1","3034",0.0944,0,"11350595","11200570","201708"
"4*6*8*1*",189422.463432225,544267.01543127,"1","6569",0.1185,0,"11380690","11680660","201601"
"4*5*5*5*",190899.925830871,544922.797872312,"1","4549",0,0.0273,"11590550","11110640","201712"
"4*3*1*9*",188475.196086646,543424.510799217,"2","7074",0.0812,0,"11620645","11110515","201601"
"4*7*1*3*",189677.747817304,543369.211073243,"2","3034",0,0.8256,"41220","11560535","201702"
"4*7*3*9*",190598.889397503,543225.587688055,"1","2024",0.175,0,"41500","11590560","201611"
"4*9*2*9*",189825.082950587,545373.822515554,"1","1519",0.9297,0.0472,"11620575","11710580","201701"
"4*7*1*0*",189884.627175985,542529.356106126,"2","7074",2.3913,0.21,"45140","11410585","201709"
"4*4*1*0*",188573.596014166,542972.425839816,"1","3539",0.091,0.273,"11380580","11710690","201709"
"4*8*6*3*",190683.501271037,543027.194828256,"2","5559",1.7283,0.0505,"41150","11620585","201706"
"4*6*9*3*",189372.998131676,542773.502714631,"2","6064",0.0806,0.0714,"11530750","11110615","201702"
"4*8*2*9*",190172.932172433,543467.081331795,"2","6569",0.1079,0,"41500","11320513","201609"
"4*9*1*4*",190436.173516034,543568.133891217,"2","3034",1.0088,0.0734,"11680590","11290555","201610"
"4*5*5*6*",190137.258699195,544616.9865941,"2","4044",0.172,0.0603,"11170555","11560660","201611"
"4*5*2*7*",190183.541773607,543755.917822897,"2","2024",0.4305,0,"11230536","11305606","201609"
