업종명,업소명,소재지(도로명),소재지(지번),업태명,
휴게음식점,로펠로세라,서울특별시 마포구 와우산로 39-14  1층 102호 (상수동),서울특별시 마포구 상수동 145-13 ,커피숍,
휴게음식점,루아르 커피 바 ruar coffee bar,서울특별시 마포구 독막로34길 32  지1층일부 (신수동),서울특별시 마포구 신수동 42-10 ,커피숍,
휴게음식점,루아르커피바,서울특별시 마포구 양화로 176  동교동 스타피카소 지하2층 일부호 (동교동),서울특별시 마포구 동교동 166-14 동교동 스타피카소 ,커피숍,
휴게음식점,르빵드 파리 앤 브런치 하우스(Le pain de paris & brunch haus),서울특별시 마포구 성미산로23길 46  1층 (연남동),서울특별시 마포구 연남동 246-4 ,커피숍,
휴게음식점,르카페디스,서울특별시 마포구 독막로 324  1층 (도화동),서울특별시 마포구 도화동 546 ,커피숍,
휴게음식점,리딧카페,서울특별시 마포구 숭문길 72  소금나루도서관 지1층 (염리동),서울특별시 마포구 염리동 61-4 소금나루도서관 ,커피숍,
휴게음식점,리밀커피,서울특별시 마포구 동교로22길 21  1층 (서교동),서울특별시 마포구 서교동 375-45 ,커피숍,
휴게음식점,리벌티(Liberty) 망원,서울특별시 마포구 포은로 108  1층 (망원동),서울특별시 마포구 망원동 414-18 ,커피숍,
휴게음식점,리얼커피,서울특별시 마포구 동교로 32-1 (합정동 1층 101호),서울특별시 마포구 합정동 441-20 1층 101호 ,커피숍,
휴게음식점,리인,서울특별시 마포구 월드컵로11길 80  1층 우측호 (망원동),서울특별시 마포구 망원동 57-208 ,커피숍,
휴게음식점,리틀윙커피,서울특별시 마포구 환일길 1  1층 (아현동),서울특별시 마포구 아현동 709 1층 ,커피숍,
휴게음식점,리틀프레스커피,서울특별시 마포구 성미산로 198 (연남동  1층일부),서울특별시 마포구 연남동 227-15 1층일부 ,커피숍,
휴게음식점,릴리스 카페,서울특별시 용산구 효창원로93길 24  만리현성결교회 지1층 (효창동),서울특별시 용산구 효창동 3-6 만리현성결교회 ,커피숍,
휴게음식점,릴리엄커피,서울특별시 마포구 동교로46길 16  보고스 1층 (연남동),서울특별시 마포구 연남동 387-25 보고스 ,커피숍,
휴게음식점,릴하우스,서울특별시 마포구 동교로 266-8  維豪-위호 2층 (연남동),서울특별시 마포구 연남동 387-4 維豪-위호 ,커피숍,
휴게음식점,마리웨일마카롱 상암SBA점,서울특별시 마포구 월드컵북로 400  1층 104호 (상암동),서울특별시 마포구 상암동 1602 ,커피숍,
휴게음식점,마마즈돌,서울특별시 마포구 동교로46길 24-2  1층 (연남동),서울특별시 마포구 연남동 384-9 ,커피숍,
휴게음식점,마이루틴,서울특별시 마포구 토정로 39  1층 (합정동),서울특별시 마포구 합정동 368-52 ,커피숍,
휴게음식점,마이쥬스 상암점,서울특별시 마포구 월드컵북로44길 63  1층 (상암동),서울특별시 마포구 상암동 36-14 ,커피숍,
휴게음식점,마크,서울특별시 마포구 월드컵북로 434  1층 110-1호 (상암동  상암IT Tower),서울특별시 마포구 상암동 1590 ,커피숍,
휴게음식점,마타사,서울특별시 마포구 새창로6나길 31  1층 (도화동),서울특별시 마포구 도화동 1-352 ,커피숍,
