"년월(STD_YM)","년월일(STD_YMD)","블록코드(BLOCK_CD)","X좌표(X_COORD)","Y좌표(Y_COORD)","유입지코드(INFLOW_CD)","시간대0시~1시미만(AVG_00TMST)","시간대1시~2시미만(AVG_01TMST)","시간대2시~3시미만(AVG_02TMST)","시간대3시~4시미만(AVG_03TMST)","시간대4시~5시미만(AVG_04TMST)","시간대5시~6시미만(AVG_05TMST)","시간대6시~7시미만(AVG_06TMST)","시간대7시~8시미만(AVG_07TMST)","시간대8시~9시미만(AVG_08TMST)","시간대9시~10시미만(AVG_09TMST)","시간대10시~11시미만(AVG_10TMST)","시간대11시~12시미만(AVG_11TMST)","시간대12시~13시미만(AVG_12TMST)","시간대13시~14시미만(AVG_13TMST)","시간대14시~15시미만(AVG_14TMST)","시간대15시~16시미만(AVG_15TMST)","시간대16시~17시미만(AVG_16TMST)","시간대17시~18시미만(AVG_17TMST)","시간대18시~19시미만(AVG_18TMST)","시간대19시~20시미만(AVG_19TMST)","시간대20시~21시미만(AVG_20TMST)","시간대21시~22시미만(AVG_21TMST)","시간대22시~23시미만(AVG_22TMST)","시간대23시~0시미만(AVG_23TMST)"
"201607","20160710","1*0*0*8*1*0*8*0*0*0*",957157.375,1954833,"43111",0,0.16,0,0,0,0,0.01,0.23,0.01,0.02,0.03,0,0.02,0,0.01,0,0.06,0,0.02,0.05,0.31,0,0,0
"201508","20150818","1*0*0*4*1*0*9*0*0*0*",959564.6875,1957846,"48121",0,0.01,0,0.02,0,0.02,0,0.01,0,0.01,0.01,0,0.01,0.13,0,0.08,0.01,0,0.02,0,0,0.03,0,0.03
"201602","20160214","1*0*0*2*4*0*1*0*0*0*",960603.1875,1955141,"48880",0,0,0,0,0,0,0,0.02,0.07,0,0,0,0.01,0,0.03,0,0.01,0,0.01,0.01,0.05,0,0.28,0
"201511","20151104","1*0*0*4*1*0*3*0*0*0*",960111.1875,1954425,"26260",0,0,0,0.01,0.02,0,0,0,0,0.01,0,0.01,0.04,0.01,0.03,0.03,0,0.01,0.16,0,0,0,0.02,0.25
"201509","20150915","1*0*0*2*4*0*1*0*0*0*",955101.125,1954680,"42750",0,0.01,0,0,0,0.01,0,0,0,0.01,0.07,0.01,0,0.1,0.42,0,0,0.04,0.03,0.01,0.01,0,0,0
"201508","20150808","1*0*0*2*3*0*7*0*0*0*",957746.3125,1957177,"27230",0.17,0,0,0,0,0,0,0.01,0,0,0,0.13,0.01,0.09,0,0,0.02,0,0.02,0,0.02,0,0.01,0
"201606","20160630","1*0*0*3*1*0*4*0*0*0*",959721.125,1955149,"44810",0,0,0.01,0,0,0,0,0,0,0.02,0,0,0.02,0.01,0.03,0,0.01,0.02,0,0,0.13,0.47,0,0.01
"201510","20151009","1*0*0*3*3*0*5*0*0*0*",960850.3125,1955086,"42170",0,0,0,0,0,0,0.02,0,0,0.01,0,0.04,0,0.36,0.13,0.01,0,0,0.01,0,0.01,0.13,0,0
"201606","20160616","1*0*0*2*4*0*1*0*0*1*",956080.3125,1954678,"42110",0,0,0,0,0,0,0,0,0.03,0,0,0.1,0.02,0.09,0,0,0.01,0.02,0,0.01,0,0.01,0.01,0.02
"201510","20151013","1*0*0*8*1*0*4*0*0*0*",955740.8125,1957437,"41500",0,0,0,0,0,0,0,0.04,0,0.02,0.08,0.03,0.05,0,0,0,0,0,0.03,0,0.22,0,0.01,0.03
"201603","20160329","1*0*0*3*1*0*5*0*0*0*",957550.375,1954576,"46150",0,0.02,0,0,0,0,0.01,0.02,0.04,0,0.32,0,0.05,6.12,0,0.01,0.01,0.01,0.01,0,0,0.04,0.02,0
"201512","20151217","1*0*0*4*2*0*8*0*0*0*",960946.625,1957485,"43113",0,0,0,0,0,0,0,0.01,0.05,0,0,0,0.04,0.01,0,0.01,0,0.03,0.2,0,0,0,0.01,0
"201512","20151210","1*0*0*8*3*0*4*0*0*0*",960014.3125,1954830,"42130",0,0.01,0,0.39,0,0,0,0,0.22,0.15,0.02,0.53,0.05,0.01,0,0.12,0.01,0.02,0,0,0.01,0.03,0,0
"201603","20160307","1*0*0*2*3*0*7*0*0*0*",955691.8125,1955597,"43111",0.01,0,0,0,0,0,0.02,0.04,0,0,0,0.02,0,0.03,0,0.01,0.02,0,0,0,0,0.17,0,0
"201601","20160106","1*0*0*1*1*0*8*0*0*0*",956179.1875,1958156,"31170",0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0,0.04,0,0,0,0,0,0.01,0.07,0.01,0
"201604","20160425","1*0*0*1*1*0*7*0*0*0*",955934.8125,1957124,"26500",0,0,0,0.23,0,0,0,0.01,0,0.01,0,0.02,0,0,0.03,0.01,0.01,0,0.01,0.01,0.03,0,0.12,0.04
"201603","20160330","1*0*0*6*4*0*6*0*0*0*",954415,1955495,"46770",0.01,0.01,0.01,0,0,0,0,0,0.08,0.05,0.01,0,0,0,0,0.01,0,0.01,1.58,0,0.03,0,0,0.03
"201604","20160424","1*0*0*6*1*0*1*0*0*0*",960209.3125,1956871,"42230",0.01,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.09,0.13,0,0,0,0.02,0.11,0
"201606","20160601","1*0*0*3*3*0*5*0*0*0*",961094.5,1957082,"26290",0,0,0,0,0,0.02,0,0.16,0,0,0,0,0,0,0.14,0,0.01,0,0,0.01,0,0.02,0,0
